site,logQ,logZ
I5,8.183844072781003,1.9027492244447803
I5,7.532623618788788,1.6106295954814431
I5,7.21081845347222,1.4884043352107255
I5,6.945051063725834,1.3808162248600404
TH,8.262197710652845,2.035219221512105
TH,7.6251071482389,1.7667556291747553
TH,7.306531398939505,1.6230027964791367
TH,7.02108396428914,1.5307516470478406
WB,8.443891048341188,1.9903471500245498
WB,7.758013040251854,1.7380281100012116
WB,7.368339686311381,1.5848950814293454
WB,7.079184394609668,1.5177477750917123
BB,8.52502246253057,2.1342866985889133
BB,7.833203948641057,1.8392426943895441
BB,7.396948602621014,1.6960371761843247
BB,7.105786129481271,1.5784091794416584
RP,8.814330422638774,2.133771663043728
RP,8.126370360044943,1.8400853859860447
RP,7.533693709848633,1.6270237272870793
RP,7.1853870155804165,1.4915140347205964
SV,8.814330422638774,2.0244792132050895
SV,8.126370360044943,1.7324745304410785
SV,7.533693709848633,1.494116663487455
SV,7.1853870155804165,1.3605076183115612
HC,8.94767606249969,2.0928562494873884
HC,8.279697133877628,1.8074418798621898
HC,7.633369649679584,1.570001502213636
HC,7.254177846456518,1.459811078667754
OMR,9.483644576482009,2.3884568469846683
OMR,8.860782895806315,2.1575045275926263
OMR,8.045588280803528,1.8656857476579485
OMR,7.530882274835273,1.724558622412795
OR,9.75846178048587,2.7023691244947345
OR,9.159047077588632,2.4589970113477233
OR,8.32117830749028,2.1499205614986985
OR,7.673223121121708,1.9486311240667333
WE,10.09053542269417,2.677347992921983
WE,9.528812284747612,2.4657814302211363
WE,8.722009826037564,2.1824779328614983
WE,7.901284791197094,2.020670724591286
KAT,10.507803519389457,2.6400374243154987
KAT,9.913437883389296,2.392444010862889
KAT,9.087607606593886,2.1243510133450374
KAT,8.21378815849922,1.8744474212339959
